timestamp,open,high,low,close,volume
2019-01-25 16:00:00,157.7300,157.9300,157.4600,157.7200,1545816
2019-01-25 15:55:00,157.6600,157.7800,157.5800,157.7200,574531
2019-01-25 15:50:00,157.6000,157.7000,157.5300,157.6667,411590
2019-01-25 15:45:00,157.4200,157.7200,157.3464,157.5900,457329
2019-01-25 15:40:00,157.4900,157.4900,157.2300,157.4400,527362
2019-01-25 15:35:00,157.5550,157.5900,157.3300,157.5000,589283
2019-01-25 15:30:00,157.7600,157.8800,157.4900,157.5500,289306
2019-01-25 15:25:00,157.7899,157.8100,157.6700,157.7600,239603
2019-01-25 15:20:00,157.4900,157.8000,157.4650,157.7900,330224
2019-01-25 15:15:00,157.3900,157.5400,157.3900,157.4730,156076
2019-01-25 15:10:00,157.5950,157.5950,157.3100,157.3652,296246
2019-01-25 15:05:00,157.6100,157.6400,157.5050,157.5900,177618
2019-01-25 15:00:00,157.6662,157.7600,157.5100,157.6175,262349
2019-01-25 14:55:00,157.5700,157.7000,157.4800,157.6800,201545
2019-01-25 14:50:00,157.8200,157.8300,157.5600,157.5600,187766
2019-01-25 14:45:00,157.6900,157.9100,157.6800,157.8400,265784
2019-01-25 14:40:00,157.4400,157.7000,157.3600,157.6900,278870
2019-01-25 14:35:00,157.4500,157.5700,157.4150,157.4700,265055
2019-01-25 14:30:00,157.6300,157.6600,157.2800,157.4500,336811
2019-01-25 14:25:00,157.9800,158.0200,157.5700,157.6400,429928
2019-01-25 14:20:00,157.7839,158.1300,157.7000,157.9700,537710
2019-01-25 14:15:00,157.9700,157.9700,157.7600,157.7851,393971
2019-01-25 14:10:00,157.6900,157.9900,157.6900,157.9600,405899
2019-01-25 14:05:00,157.6400,157.6900,157.5601,157.6900,231989
2019-01-25 14:00:00,157.5699,157.6300,157.5500,157.6200,172867
2019-01-25 13:55:00,157.5300,157.6250,157.4800,157.5700,242456
2019-01-25 13:50:00,157.4532,157.5300,157.4000,157.5050,157910
2019-01-25 13:45:00,157.4100,157.4500,157.3200,157.4463,175257
2019-01-25 13:40:00,157.3800,157.5200,157.3500,157.3985,366361
2019-01-25 13:35:00,157.1534,157.3920,157.1400,157.3700,374828
2019-01-25 13:30:00,157.1400,157.2300,157.1100,157.1400,213097
2019-01-25 13:25:00,156.7800,157.1700,156.7800,157.1400,303809
2019-01-25 13:20:00,156.8100,156.8900,156.7699,156.7900,124666
2019-01-25 13:15:00,156.8500,156.9000,156.6300,156.8200,167908
2019-01-25 13:10:00,156.7865,156.8750,156.7300,156.8600,149909
2019-01-25 13:05:00,156.8600,157.0100,156.7700,156.7900,165440
2019-01-25 13:00:00,156.7500,156.9100,156.7150,156.8601,172087
2019-01-25 12:55:00,156.7700,156.8000,156.5600,156.7480,283577
2019-01-25 12:50:00,156.9900,157.0000,156.6400,156.7431,339521
2019-01-25 12:45:00,157.2200,157.2200,156.9700,157.0200,307186
2019-01-25 12:40:00,157.0237,157.2099,157.0200,157.2099,205569
2019-01-25 12:35:00,156.9450,157.0674,156.8700,157.0500,192399
2019-01-25 12:30:00,156.8800,157.0100,156.8800,156.9300,212484
2019-01-25 12:25:00,156.7400,156.8700,156.6500,156.8700,144676
2019-01-25 12:20:00,156.6700,156.7900,156.6300,156.6900,180921
2019-01-25 12:15:00,156.8200,156.8400,156.6000,156.6700,223447
2019-01-25 12:10:00,156.9100,156.9600,156.8200,156.8265,165313
2019-01-25 12:05:00,157.0300,157.0400,156.9100,156.9200,236335
2019-01-25 12:00:00,157.0161,157.0400,156.8400,157.0000,269897
2019-01-25 11:55:00,157.0000,157.1000,156.9500,157.0300,319880
2019-01-25 11:50:00,156.9301,157.0300,156.9100,157.0100,233418
2019-01-25 11:45:00,156.7700,156.9450,156.6662,156.9400,284123
2019-01-25 11:40:00,156.6000,156.8300,156.5600,156.7423,324240
2019-01-25 11:35:00,156.3698,156.6100,156.3698,156.6100,326340
2019-01-25 11:30:00,156.3900,156.5100,156.2400,156.3800,356403
2019-01-25 11:25:00,156.6151,156.6400,156.3000,156.3760,300033
2019-01-25 11:20:00,156.6200,156.6485,156.4800,156.6000,288460
2019-01-25 11:15:00,156.8700,156.9300,156.6600,156.6600,293077
2019-01-25 11:10:00,156.9700,157.0050,156.8100,156.8750,260397
2019-01-25 11:05:00,157.1600,157.2400,156.9000,156.9700,391582
2019-01-25 11:00:00,157.0109,157.2200,156.9625,157.1800,316871
2019-01-25 10:55:00,156.9900,157.1100,156.8500,157.0200,275764
2019-01-25 10:50:00,157.2400,157.2400,156.9700,157.0000,394731
2019-01-25 10:45:00,156.9500,157.2500,156.9400,157.2200,498022
2019-01-25 10:40:00,156.8000,157.0200,156.6900,156.9400,313663
2019-01-25 10:35:00,156.7500,156.9200,156.5300,156.7800,440478
2019-01-25 10:30:00,156.6000,156.7800,156.4611,156.7500,352256
2019-01-25 10:25:00,156.7000,156.8000,156.5200,156.5700,522500
2019-01-25 10:20:00,156.9800,156.9800,156.5900,156.6900,533595
2019-01-25 10:15:00,156.9500,157.0700,156.7600,156.9500,774917
2019-01-25 10:10:00,156.4499,157.0100,156.4499,156.9758,976810
2019-01-25 10:05:00,156.3198,156.5400,156.2900,156.4300,782155
2019-01-25 10:00:00,156.0400,156.3600,155.7600,156.3300,733871
2019-01-25 09:55:00,155.7200,156.2100,155.6900,156.0600,1032938
2019-01-25 09:50:00,155.2000,155.7300,155.1700,155.6900,874586
2019-01-25 09:45:00,155.2200,155.3100,155.0000,155.2500,751118
2019-01-25 09:40:00,154.6600,155.2300,154.6600,155.2300,997661
2019-01-25 09:35:00,155.3488,155.3600,154.3300,154.6900,2145751
2019-01-24 16:00:00,152.4800,152.7500,152.4500,152.7100,995970
2019-01-24 15:55:00,152.2700,152.4700,152.2700,152.4300,402604
2019-01-24 15:50:00,152.1600,152.2800,152.1300,152.2700,361998
2019-01-24 15:45:00,152.1350,152.2000,152.0850,152.1500,269771
2019-01-24 15:40:00,152.2175,152.2400,152.1300,152.1300,229370
2019-01-24 15:35:00,152.3700,152.4000,152.1900,152.2150,274508
2019-01-24 15:30:00,152.3900,152.5000,152.3100,152.3700,174848
2019-01-24 15:25:00,152.4200,152.4600,152.3800,152.4000,152750
2019-01-24 15:20:00,152.3700,152.5200,152.3700,152.4300,206580
2019-01-24 15:15:00,152.4050,152.4701,152.3600,152.3650,220014
2019-01-24 15:10:00,152.2400,152.5000,152.2310,152.4140,282228
2019-01-24 15:05:00,152.2200,152.2900,152.1221,152.2350,186256
2019-01-24 15:00:00,152.2450,152.3200,152.1700,152.2254,211980
2019-01-24 14:55:00,151.9400,152.2500,151.9400,152.2400,272833
2019-01-24 14:50:00,151.9600,152.0300,151.8700,151.9319,183857
2019-01-24 14:45:00,152.0400,152.0461,151.9044,151.9650,170480
2019-01-24 14:40:00,151.7900,152.0900,151.7400,152.0301,255853
2019-01-24 14:35:00,151.8850,151.9000,151.7500,151.7846,213088
2019-01-24 14:30:00,151.9200,151.9700,151.7900,151.8836,283519
2019-01-24 14:25:00,151.9450,152.0600,151.8900,151.9200,168507
2019-01-24 14:20:00,152.0200,152.1131,151.8900,151.9464,187792
2019-01-24 14:15:00,152.1358,152.1900,152.0200,152.0250,137283
